Post ID,Platform,Post Date,Posting Time,Content Type,Reach,Impressions,Likes,Comments,Shares,Saves,Followers Gained,Engagement Rate
POST00062,Facebook,2024-02-01,10:51,Video,40999,65602,2828,137,17,73,17,7.45
POST00063,Facebook,2024-02-25,19:34,Video,7737,15523,481,8,3,4,1,6.41
POST00064,Facebook,2024-08-17,19:17,Video,48021,63306,3053,97,35,86,11,6.81
POST00065,Facebook,2024-08-24,18:28,Carousel,31998,58868,1135,32,22,22,4,3.78
POST00066,Facebook,2024-10-08,22:53,Image,12955,17716,358,5,2,8,0,2.88
POST00067,Instagram,2024-01-08,07:10,Carousel,41034,76725,3216,109,26,85,13,8.37
POST00068,Instagram,2024-07-27,06:55,Image,44749,60716,2132,38,22,42,15,4.99
POST00069,Instagram,2024-07-24,05:24,Carousel,10240,21443,519,8,5,5,4,5.24
POST00070,Instagram,2024-01-02,08:59,Reel,40792,60052,1722,50,24,29,8,4.47
POST00071,LinkedIn,2024-08-20,22:42,Image,21872,30031,1339,58,21,14,11,6.55
POST00072,Facebook,2024-09-06,20:13,Video,20295,43809,627,20,11,7,3,3.28
POST00073,Instagram,2024-01-30,17:03,Video,14518,30238,977,29,6,20,6,7.11
POST00074,LinkedIn,2024-06-09,22:30,Video,15902,26912,640,29,9,9,3,4.32
POST00075,Instagram,2024-09-14,16:10,Story,25828,38559,1082,31,19,12,8,4.43
POST00076,Instagram,2024-01-30,02:54,Carousel,29818,36488,1843,91,34,39,17,6.73
POST00077,Instagram,2024-04-05,18:43,Story,26807,57360,1856,71,24,36,15,7.41
POST00078,Instagram,2024-04-30,18:15,Story,35151,51297,2255,70,35,57,4,6.88
POST00079,Facebook,2024-10-23,19:05,Story,25902,43515,1224,39,16,17,8,5.0
POST00080,Instagram,2024-08-02,18:33,Image,67670,148082,3771,108,42,64,35,5.89
POST00081,LinkedIn,2024-06-10,06:42,Story,3126,6721,238,4,1,5,1,7.93
POST00082,LinkedIn,2024-06-09,21:08,Image,15489,33698,1052,45,8,15,7,7.23
POST00083,Twitter/X,2024-12-09,14:20,Image,18449,31551,1272,35,13,24,4,7.28
POST00084,LinkedIn,2024-02-07,22:36,Video,38393,63808,1669,52,10,24,9,4.57
POST00085,Facebook,2024-02-21,19:32,Video,37465,61269,1062,44,15,21,9,3.05
POST00086,LinkedIn,2024-05-15,20:56,Image,4368,9256,291,4,2,7,1,6.96
POST00087,LinkedIn,2024-02-05,11:18,Image,24412,32805,1728,26,18,44,4,7.44
POST00088,Instagram,2024-03-21,17:45,Reel,38413,46704,2147,70,33,47,18,5.98
POST00089,Twitter/X,2024-06-03,20:33,Image,17355,29869,828,39,6,17,4,5.13
POST00090,Facebook,2024-01-05,17:19,Image,36595,72123,956,44,16,10,6,2.8
POST00091,LinkedIn,2024-12-05,19:16,Image,34171,59846,2193,103,41,41,4,6.96
POST00092,Twitter/X,2024-02-29,23:35,Carousel,4072,9491,208,6,2,2,0,5.35
POST00093,LinkedIn,2024-03-20,22:13,Image,21313,28741,956,42,18,18,5,4.85
POST00094,Twitter/X,2024-06-24,20:32,Video,18464,33016,525,8,6,9,4,2.97
POST00095,Facebook,2024-09-07,18:05,Reel,16288,24206,533,16,10,10,3,3.49
POST00096,Twitter/X,2024-11-20,08:02,Video,14279,22888,625,16,10,10,3,4.63
POST00097,Facebook,2024-01-02,19:40,Video,18765,36297,449,18,5,9,2,2.56
POST00098,Facebook,2024-05-14,21:35,Reel,32218,78288,1365,28,20,24,1,4.46
POST00099,Instagram,2024-12-27,00:07,Reel,31062,53749,1649,33,13,33,10,5.56
POST00100,Instagram,2024-02-08,22:57,Reel,94470,193528,3239,45,28,79,28,3.59
POST00101,LinkedIn,2024-03-17,11:37,Image,10356,14326,459,10,2,10,3,4.64
POST00102,LinkedIn,2024-10-09,19:02,Image,15548,30442,704,32,12,11,2,4.88
POST00103,Facebook,2024-06-06,18:57,Reel,36951,60922,2454,60,43,35,23,7.01
POST00104,LinkedIn,2024-07-02,19:42,Image,24523,44966,1806,75,20,18,6,7.83
POST00105,Facebook,2024-02-22,22:56,Reel,56179,77592,3937,194,50,52,13,7.53
POST00106,Instagram,2024-07-27,23:09,Story,25332,49384,923,29,13,24,2,3.9
POST00107,Instagram,2024-05-01,05:56,Image,45760,70765,2925,58,42,58,18,6.74
POST00108,LinkedIn,2024-07-30,20:50,Video,38337,67037,1580,76,12,18,12,4.4
POST00109,Instagram,2024-07-29,23:51,Carousel,29063,69465,1839,63,35,32,17,6.77
POST00110,Instagram,2024-05-07,18:24,Reel,95513,181646,2838,123,50,82,6,3.24
POST00111,Facebook,2024-01-20,07:12,Video,49254,63915,3137,93,48,58,10,6.77
POST00112,LinkedIn,2024-08-23,19:14,Carousel,14508,35660,294,4,2,7,2,2.12
POST00113,LinkedIn,2024-01-13,12:21,Carousel,22491,42833,1627,63,27,37,11,7.8
POST00114,LinkedIn,2024-05-22,08:22,Image,23771,35361,1884,89,10,45,17,8.53
POST00115,Instagram,2024-11-24,21:53,Reel,71233,114450,1939,76,15,23,9,2.88
POST00116,LinkedIn,2024-10-01,18:07,Carousel,29124,66924,1140,49,6,24,3,4.19
POST00117,Instagram,2024-05-13,20:02,Image,48812,80141,3098,39,30,64,25,6.62
POST00118,Instagram,2024-02-25,11:46,Reel,50530,88673,3668,97,43,109,3,7.75
POST00119,Instagram,2024-06-09,16:07,Reel,28378,63521,2266,54,37,40,12,8.45
POST00120,Facebook,2024-07-16,06:16,Carousel,13616,29938,613,16,9,9,1,4.75
POST00121,Facebook,2024-01-23,00:33,Image,35913,54002,808,8,16,14,3,2.36
POST00122,LinkedIn,2024-10-02,23:47,Image,12233,27369,434,14,8,12,2,3.83
POST00123,Twitter/X,2024-12-09,21:04,Story,17806,22871,785,34,6,20,1,4.75
POST00124,Instagram,2024-12-06,19:20,Reel,46872,67606,3129,75,18,91,28,7.07
POST00125,Twitter/X,2024-12-05,23:57,Story,8884,15237,581,21,4,15,1,6.99
POST00126,Instagram,2024-06-02,21:26,Reel,89129,174168,2271,102,20,28,20,2.72
POST00127,Twitter/X,2024-06-16,09:35,Carousel,14774,30313,783,10,8,13,2,5.51
POST00128,LinkedIn,2024-03-06,21:43,Video,18614,27664,1135,14,20,22,6,6.4
POST00129,Facebook,2024-03-30,09:25,Carousel,4591,9460,241,10,3,4,2,5.62
POST00130,Instagram,2024-10-07,09:18,Video,30014,49049,1030,48,6,24,2,3.69
POST00131,Twitter/X,2024-04-17,18:38,Story,4264,5278,296,4,2,7,0,7.25
POST00132,LinkedIn,2024-12-01,21:28,Carousel,3211,4659,80,1,1,0,0,2.55
POST00133,Instagram,2024-12-11,21:50,Carousel,8409,11260,552,17,10,9,3,6.99
POST00134,Twitter/X,2024-03-27,09:32,Image,14507,20685,961,46,7,24,7,7.16
POST00135,Facebook,2024-12-05,10:05,Image,14383,18114,1039,50,20,25,2,7.88
POST00136,LinkedIn,2024-04-30,07:51,Image,13296,21548,655,26,9,12,2,5.28
POST00137,Twitter/X,2024-04-11,18:15,Video,13722,31704,708,30,6,18,5,5.55
POST00138,Instagram,2024-08-31,02:29,Image,49413,68999,2270,108,25,51,10,4.97
POST00139,Instagram,2024-07-31,18:12,Story,13914,22498,883,35,7,24,6,6.82
POST00140,Facebook,2024-12-22,21:15,Video,41848,102889,1302,58,21,33,11,3.38
POST00141,LinkedIn,2024-03-16,00:57,Reel,29014,45912,2167,105,16,41,2,8.03
POST00142,Facebook,2024-02-24,07:11,Reel,56296,108422,1887,31,27,31,11,3.51
POST00143,Facebook,2024-12-22,01:35,Story,31948,57633,1943,50,38,47,13,6.5
POST00144,LinkedIn,2024-05-07,03:29,Story,17504,21906,854,12,7,25,1,5.13
POST00145,Facebook,2024-03-09,21:33,Reel,80824,155791,1663,38,21,19,6,2.15
POST00146,Instagram,2024-10-13,14:39,Image,48201,119090,1544,58,26,16,10,3.41
POST00147,Twitter/X,2024-09-15,17:28,Image,18018,22361,1372,16,17,33,12,7.98
POST00148,LinkedIn,2024-03-22,15:28,Carousel,15629,31194,766,27,10,16,6,5.24
POST00149,Facebook,2024-05-12,20:17,Image,45563,80655,2892,97,42,56,18,6.78
POST00150,Instagram,2024-09-23,07:17,Reel,14670,21077,988,35,12,20,7,7.19
POST00151,Instagram,2024-08-13,20:15,Story,8870,16331,220,5,1,4,0,2.59
POST00152,LinkedIn,2024-05-19,22:05,Image,22450,48162,1449,39,14,25,14,6.8
POST00153,Instagram,2024-03-11,21:44,Carousel,13584,26685,295,7,4,6,2,2.3
POST00154,LinkedIn,2024-03-19,02:26,Story,11578,27625,377,13,5,9,0,3.49
POST00155,LinkedIn,2024-07-27,21:26,Carousel,22274,45044,943,28,10,10,4,4.45
POST00156,Instagram,2024-02-01,21:24,Reel,79339,148305,3296,111,24,58,32,4.4
POST00157,Instagram,2024-10-26,00:54,Reel,72009,141493,4026,104,34,59,36,5.86
POST00158,Facebook,2024-10-21,18:22,Video,15877,26008,1107,30,9,24,8,7.37
POST00159,Instagram,2024-06-01,13:34,Video,31948,63487,1322,41,22,31,6,4.43
POST00160,Twitter/X,2024-10-06,07:31,Video,24255,32634,877,10,11,25,1,3.81
POST00161,Instagram,2024-04-22,21:01,Reel,70148,92253,1837,61,28,32,9,2.79
POST00162,LinkedIn,2024-07-18,21:46,Image,20305,41236,1463,41,18,28,10,7.63
POST00163,Instagram,2024-03-25,04:39,Image,37556,52075,2868,112,21,39,21,8.09
POST00164,Instagram,2024-09-30,21:37,Video,78269,190037,4774,142,68,130,29,6.53
POST00165,Instagram,2024-10-15,02:41,Story,28527,59320,939,34,10,21,1,3.52
POST00166,LinkedIn,2024-08-07,21:11,Story,11348,18310,816,40,13,9,2,7.74
POST00167,Instagram,2024-01-26,20:13,Reel,85975,139721,5163,218,84,134,25,6.51
POST00168,LinkedIn,2024-08-20,21:17,Image,15418,31511,612,21,8,13,2,4.24
POST00169,Facebook,2024-08-03,18:30,Reel,25046,42208,842,10,11,19,5,3.52
POST00170,Facebook,2024-01-10,01:22,Video,40873,99604,2895,134,49,35,6,7.62
POST00171,Facebook,2024-04-24,20:02,Image,15727,34510,1081,41,20,11,2,7.33
POST00172,Instagram,2024-01-16,06:53,Reel,39940,97495,2367,59,18,46,6,6.23
POST00173,Instagram,2024-01-11,07:08,Reel,49816,103175,3774,118,51,44,28,8.0
POST00174,Facebook,2024-08-30,18:13,Story,42453,57670,1310,48,10,26,9,3.28
POST00175,Instagram,2024-08-26,11:10,Reel,17161,41067,780,10,13,13,4,4.75
POST00176,Instagram,2024-11-06,23:45,Image,28669,53603,1594,66,23,21,6,5.94
POST00177,Twitter/X,2024-02-28,05:19,Carousel,18456,27830,1233,25,21,22,8,7.05
POST00178,Instagram,2024-02-25,09:36,Reel,12060,21118,351,6,6,6,2,3.06
POST00179,Instagram,2024-12-12,12:25,Video,41654,82859,2199,42,23,48,12,5.55
POST00180,Twitter/X,2024-04-11,19:06,Image,17560,24002,460,17,6,7,0,2.79
POST00181,Instagram,2024-12-22,21:38,Carousel,26894,46299,1130,26,16,21,9,4.44
POST00182,LinkedIn,2024-03-02,18:50,Image,8757,16655,637,22,8,10,2,7.73
POST00183,LinkedIn,2024-01-22,21:42,Story,23744,39695,1893,52,18,40,3,8.44
POST00184,Twitter/X,2024-07-08,20:00,Video,7960,11631,415,5,4,10,1,5.45
POST00185,LinkedIn,2024-08-03,03:27,Carousel,3679,6244,100,4,0,2,0,2.88
POST00186,Instagram,2024-07-04,14:45,Reel,27592,55478,699,28,4,18,5,2.71
POST00187,LinkedIn,2024-03-19,23:33,Image,22960,34338,929,23,9,13,5,4.24
POST00188,LinkedIn,2024-11-29,22:49,Image,28102,55663,1431,66,17,42,12,5.54
POST00189,Instagram,2024-09-04,23:37,Story,13863,26362,799,29,10,19,1,6.18
POST00190,Instagram,2024-05-17,19:53,Carousel,24760,42683,752,28,7,22,5,3.27
POST00191,LinkedIn,2024-02-14,21:15,Image,31700,63028,898,41,15,14,8,3.05
POST00192,LinkedIn,2024-08-25,21:24,Carousel,29278,37728,630,9,12,13,6,2.27
POST00193,Facebook,2024-06-21,20:11,Video,66634,155852,2443,107,12,25,15,3.88
POST00194,Facebook,2024-09-06,20:21,Video,30626,67836,1457,17,29,16,10,4.96
POST00195,Twitter/X,2024-05-23,22:56,Image,9027,20017,324,5,4,7,2,3.77
POST00196,Instagram,2024-05-21,16:12,Video,50922,81379,2924,90,33,36,26,6.05
POST00197,Facebook,2024-02-13,21:31,Image,47933,90265,2343,40,25,68,7,5.17
POST00198,Instagram,2024-10-11,22:30,Reel,89469,137581,5870,90,76,83,6,6.84
POST00199,Instagram,2024-11-26,14:50,Story,32122,41244,724,17,6,16,3,2.38
POST00200,Instagram,2024-01-09,19:25,Image,22048,30758,870,34,10,15,3,4.21
POST00201,Facebook,2024-12-20,22:23,Carousel,47475,105535,1847,69,21,27,15,4.14
POST00202,Instagram,2024-08-30,11:27,Story,24291,55205,1207,30,14,17,10,5.22
POST00203,Facebook,2024-10-08,21:17,Carousel,46355,115180,2159,25,12,53,14,4.85
POST00204,LinkedIn,2024-06-05,18:46,Image,18592,45428,1194,28,11,20,9,6.74
POST00205,LinkedIn,2024-04-08,22:48,Image,15349,31594,1010,20,5,11,9,6.81
POST00206,Instagram,2024-12-19,19:47,Carousel,56201,95346,1817,26,25,46,12,3.41
POST00207,Facebook,2024-09-04,22:48,Image,53149,72431,2575,37,31,73,14,5.11
POST00208,Facebook,2024-09-25,03:53,Image,19905,32639,1506,28,15,28,7,7.92
POST00209,Facebook,2024-04-09,20:11,Story,6115,14717,370,11,1,11,2,6.43
POST00210,Instagram,2024-06-03,22:08,Carousel,59700,142957,2097,84,24,56,15,3.79
POST00211,LinkedIn,2024-05-20,18:35,Carousel,31799,49292,1665,65,11,39,3,5.6
POST00212,Twitter/X,2024-05-29,04:40,Video,19133,43870,1223,38,16,24,4,6.8
POST00213,Facebook,2024-09-08,18:36,Carousel,12496,24371,907,24,6,19,7,7.65
POST00214,LinkedIn,2024-05-25,14:21,Carousel,8019,10656,353,14,2,7,2,4.69
POST00215,Facebook,2024-04-04,08:55,Image,34656,58493,1813,56,32,48,15,5.62
POST00216,Instagram,2024-09-01,18:25,Reel,95281,159912,3774,60,36,103,37,4.17
POST00217,Facebook,2024-09-08,18:09,Video,38788,91231,2155,55,24,51,2,5.89
POST00218,Facebook,2024-03-17,09:05,Video,47902,81623,2114,95,26,51,4,4.77
POST00219,Instagram,2024-05-07,21:38,Reel,87626,173896,5309,224,48,140,29,6.53
POST00220,Instagram,2024-11-01,07:49,Image,47092,102175,3716,68,64,75,16,8.33
POST00221,Instagram,2024-09-24,21:19,Reel,33012,43416,1097,37,17,32,10,3.58
POST00222,Facebook,2024-10-28,09:36,Video,48166,88867,1478,55,29,36,11,3.32
POST00223,Twitter/X,2024-11-13,18:48,Image,13060,21351,281,3,4,4,1,2.24
POST00224,Instagram,2024-04-16,08:42,Story,18266,42167,612,15,7,12,3,3.54
POST00225,Twitter/X,2024-02-11,19:35,Reel,33763,80190,2517,103,12,28,7,7.88
POST00226,Instagram,2024-02-08,21:28,Reel,13899,28549,1075,13,6,16,3,7.99
POST00227,Instagram,2024-12-18,09:02,Story,17612,43453,744,20,13,11,1,4.47
POST00228,Twitter/X,2024-04-28,20:44,Image,12623,30022,357,11,3,6,3,2.99
POST00229,Instagram,2024-08-20,19:59,Reel,12958,17705,945,24,16,24,6,7.79
POST00230,Facebook,2024-05-15,20:37,Story,34974,71711,1115,36,13,32,7,3.42
POST00231,Instagram,2024-12-04,06:27,Image,12345,26369,556,7,8,11,5,4.71
POST00232,Instagram,2024-02-28,20:09,Reel,49295,63490,3079,97,19,59,16,6.6
POST00233,Instagram,2024-05-16,02:03,Story,6509,8636,466,13,7,7,3,7.57
POST00234,Instagram,2024-03-25,19:47,Reel,46187,58544,3102,56,27,41,12,6.98
POST00235,LinkedIn,2024-10-18,14:07,Video,11074,15106,659,10,5,19,3,6.26
POST00236,LinkedIn,2024-08-27,22:25,Video,7484,9615,358,16,4,7,0,5.14
POST00237,LinkedIn,2024-05-19,15:28,Carousel,15489,20467,719,12,5,8,3,4.8
POST00238,LinkedIn,2024-02-11,13:47,Image,9239,20670,404,18,5,5,2,4.68
POST00239,LinkedIn,2024-06-14,00:05,Image,8530,14262,629,10,7,13,0,7.73
POST00240,Facebook,2024-04-27,18:37,Carousel,28099,39274,1304,45,8,36,10,4.96
POST00241,Facebook,2024-01-11,21:52,Story,31527,57724,862,33,8,25,8,2.94
POST00242,LinkedIn,2024-05-17,05:30,Image,10004,19284,516,20,9,5,3,5.5
POST00243,Instagram,2024-09-22,08:11,Carousel,14587,34916,388,15,7,10,2,2.88
POST00244,Instagram,2024-10-26,15:05,Video,18649,43708,960,18,6,11,7,5.34
POST00245,Facebook,2024-08-28,20:20,Story,10584,18897,687,24,9,11,5,6.91
POST00246,Facebook,2024-12-09,19:21,Story,13575,16839,873,12,8,8,6,6.64
POST00247,Instagram,2024-07-29,09:42,Reel,39670,51351,976,23,17,13,4,2.59
POST00248,Instagram,2024-07-24,17:02,Carousel,49333,107892,3661,70,62,40,33,7.77
POST00249,LinkedIn,2024-08-20,20:20,Carousel,34644,66813,923,25,10,25,5,2.84
POST00250,Facebook,2024-02-29,12:55,Story,12087,22032,254,6,1,7,0,2.22
POST00251,LinkedIn,2024-09-20,00:42,Story,17064,37202,1165,12,22,28,4,7.19
POST00252,LinkedIn,2024-10-04,01:12,Image,21374,38148,707,10,4,10,1,3.42
POST00253,Facebook,2024-09-22,21:40,Image,45488,72162,1728,68,9,48,14,4.07
POST00254,LinkedIn,2024-08-14,06:17,Video,28056,56505,1455,63,13,27,4,5.55
POST00255,LinkedIn,2024-10-08,20:28,Video,34659,44458,2422,82,16,28,22,7.35
POST00256,LinkedIn,2024-12-23,00:40,Carousel,19111,46679,411,15,2,11,2,2.3
POST00257,Instagram,2024-11-07,22:10,Video,51199,72792,3936,109,66,89,27,8.2
POST00258,Instagram,2024-06-08,17:26,Video,46533,85339,2751,132,38,68,15,6.42
POST00259,Facebook,2024-02-17,18:29,Image,43916,73357,2123,25,15,32,20,5.0
POST00260,Instagram,2024-03-01,04:31,Reel,52678,95382,2467,71,34,51,21,4.98
POST00261,Instagram,2024-05-29,08:26,Carousel,34075,45675,1374,57,18,27,5,4.33
POST00262,Twitter/X,2024-09-04,07:29,Video,19318,30327,1334,41,24,28,1,7.39
POST00263,LinkedIn,2024-10-09,19:58,Image,32740,44884,1194,30,13,21,10,3.84
POST00264,LinkedIn,2024-11-02,04:55,Reel,7966,12632,502,24,7,13,0,6.85
POST00265,LinkedIn,2024-02-05,21:21,Carousel,8063,16004,493,7,5,9,2,6.37
POST00266,Instagram,2024-09-16,18:18,Reel,38628,91564,1709,39,27,31,11,4.68
POST00267,Facebook,2024-06-01,18:42,Carousel,16941,34338,1267,43,22,31,2,8.05
POST00268,Twitter/X,2024-09-07,14:34,Image,7031,17497,486,18,6,9,0,7.38
POST00269,Facebook,2024-09-04,22:48,Story,17175,25433,824,35,4,14,7,5.11
POST00270,Facebook,2024-10-05,20:55,Image,53043,84773,3571,99,60,94,31,7.21
POST00271,Twitter/X,2024-04-06,07:36,Video,23065,54353,478,11,2,8,2,2.16
POST00272,Facebook,2024-07-15,21:02,Image,27146,37607,1992,47,14,20,13,7.64
POST00273,Facebook,2024-06-11,22:58,Video,26822,46469,1037,38,14,17,3,4.12
POST00274,Twitter/X,2024-07-14,19:31,Video,30479,43206,2387,45,46,49,5,8.29
POST00275,Instagram,2024-01-19,22:21,Video,76850,130981,2274,24,37,43,8,3.09
POST00276,Twitter/X,2024-02-21,14:06,Image,7313,12338,354,9,7,7,0,5.16
POST00277,Facebook,2024-09-26,00:46,Image,37704,64140,1524,48,11,32,8,4.28
POST00278,LinkedIn,2024-03-14,20:09,Carousel,27062,45005,1883,72,14,37,13,7.41
POST00279,Instagram,2024-02-08,08:21,Carousel,14714,20817,808,40,5,21,2,5.94
POST00280,LinkedIn,2024-11-15,20:05,Carousel,5811,9434,392,11,6,5,3,7.12
POST00281,LinkedIn,2024-06-17,17:24,Carousel,12238,30022,912,35,11,24,1,8.02
POST00282,LinkedIn,2024-06-11,15:55,Image,3207,4998,232,11,1,4,2,7.73
POST00283,Facebook,2024-10-04,18:15,Carousel,14232,22674,704,21,9,13,4,5.25
POST00284,Twitter/X,2024-11-19,09:14,Video,5896,13709,464,12,8,11,2,8.4
POST00285,Twitter/X,2024-02-16,03:48,Image,16688,21315,336,11,3,4,1,2.12
POST00286,Instagram,2024-11-20,03:28,Image,30518,61480,2306,24,28,54,17,7.9
POST00287,LinkedIn,2024-03-26,00:02,Image,14413,29370,997,23,15,20,8,7.32
POST00288,Twitter/X,2024-06-15,09:22,Image,5208,6857,104,1,1,2,0,2.07
POST00289,Instagram,2024-07-10,07:33,Story,9836,22150,718,27,4,12,5,7.74
POST00290,Instagram,2024-07-29,05:10,Reel,59673,76728,2442,35,41,70,4,4.34
POST00291,Twitter/X,2024-03-30,21:39,Video,11256,14631,563,23,8,6,0,5.33
POST00292,Facebook,2024-12-15,22:09,Image,53652,124602,2364,51,17,36,2,4.6
POST00293,Facebook,2024-04-28,08:29,Carousel,18592,27610,409,7,4,10,1,2.31
POST00294,LinkedIn,2024-05-10,14:57,Carousel,17369,39390,925,32,11,17,2,5.67
POST00295,Instagram,2024-05-27,05:04,Video,30798,42677,2048,42,25,32,4,6.97
POST00296,Facebook,2024-08-14,18:19,Image,23837,41075,623,10,10,15,3,2.76
POST00297,Twitter/X,2024-11-23,22:16,Video,27458,33085,955,37,9,11,4,3.69
POST00298,Instagram,2024-08-21,06:24,Carousel,42291,82186,3147,150,35,55,29,8.01
POST00299,LinkedIn,2024-09-04,21:36,Image,14926,27493,645,22,10,6,1,4.58
POST00300,LinkedIn,2024-07-02,22:18,Carousel,30787,67403,2372,90,22,28,19,8.16
POST00301,Facebook,2024-01-12,21:25,Image,28711,53062,1237,55,15,15,8,4.6
POST00302,LinkedIn,2024-05-20,18:58,Image,10603,23303,477,20,8,6,3,4.82
